Distance [mm] - Plot 0,Amplitude [mV] - Plot 0
0,471
0.009,468
0.019,472
0.028,469
0.038,473
0.047,469
0.056,474
0.066,470
0.075,479
0.084,472
0.094,475
0.103,473
0.112,472
0.122,472
0.131,474
0.141,473
0.15,475
0.159,477
0.169,473
0.178,473
0.187,475
0.197,468
0.206,467
0.216,469
0.225,469
0.234,468
0.244,469
0.253,472
0.262,469
0.272,472
0.281,469
0.291,470
0.3,466
0.309,470
0.319,468
0.328,470
0.338,468
0.347,472
0.356,465
0.366,469
0.375,466
0.384,469
0.394,464
0.403,470
0.413,465
0.422,472
0.431,467
0.441,470
0.45,464
0.459,469
0.469,464
0.478,468
0.488,464
0.497,469
0.506,461
0.516,469
0.525,461
0.534,468
0.544,462
0.553,469
0.563,462
0.572,469
0.581,464
0.591,470
0.6,465
0.609,470
0.619,464
0.628,469
0.638,465
0.647,469
0.656,464
0.666,469
0.675,461
0.684,466
0.694,460
0.703,469
0.713,463
0.722,469
0.731,464
0.741,468
0.75,464
0.759,463
0.769,461
0.778,464
0.788,462
0.797,464
0.806,462
0.816,463
0.825,461
0.834,462
0.844,461
0.853,461
0.863,464
0.872,464
0.881,464
0.891,463
0.9,464
0.909,462
0.919,465
0.928,463
0.938,464
0.947,462
0.956,464
0.966,461
0.975,466
0.984,460
0.994,462
1.003,457
1.013,463
1.022,459
1.031,462
1.041,459
1.05,464
1.059,459
1.069,466
1.078,459
1.087,465
1.097,459
1.106,464
1.116,459
1.125,465
1.134,461
1.144,465
1.153,458
1.162,464
1.172,456
1.181,465
1.191,454
1.2,461
1.209,450
1.219,459
1.228,452
1.237,460
1.247,452
1.256,458
1.266,449
1.275,455
1.284,450
1.294,457
1.303,449
1.312,454
1.322,449
1.331,453
1.341,448
1.35,452
1.359,449
1.369,449
1.378,450
1.388,451
1.397,449
1.406,450
1.416,448
1.425,450
1.434,448
1.444,450
1.453,449
1.462,450
1.472,448
1.481,450
1.491,449
1.5,449
1.509,448
1.519,449
1.528,446
1.538,447
1.547,450
1.556,448
1.566,443
1.575,446
1.584,445
1.594,441
1.603,442
1.612,440
1.622,440
1.631,441
1.641,444
1.65,441
1.659,441
1.669,438
1.678,441
1.687,436
1.697,442
1.706,436
1.716,443
1.725,437
1.734,442
1.744,435
1.753,442
1.763,434
1.772,437
1.781,433
1.791,441
1.8,436
1.809,440
1.819,433
1.828,437
1.837,435
1.847,439
1.856,433
1.866,441
1.875,431
1.884,440
1.894,431
1.903,443
1.913,432
1.922,442
1.931,432
1.941,441
1.95,434
1.959,438
1.969,432
1.978,438
1.987,432
1.997,437
2.006,430
2.016,436
2.025,431
2.034,436
2.044,433
2.053,440
2.062,431
2.072,440
2.081,435
2.091,441
2.1,435
2.109,440
2.119,435
2.128,443
2.138,435
2.147,440
2.156,436
2.166,441
2.175,434
2.184,439
2.194,433
2.203,435
2.213,432
2.222,432
2.231,428
2.241,430
2.25,432
2.259,430
2.269,431
2.278,432
2.287,431
2.297,432
2.306,434
2.316,432
2.325,432
2.334,430
2.344,430
2.353,431
2.362,431
2.372,425
2.381,428
2.391,425
2.4,428
2.409,427
2.419,428
2.428,424
2.437,429
2.447,423
2.456,429
2.466,425
2.475,430
2.484,425
2.494,430
2.503,429
2.513,428
2.522,429
2.531,430
2.541,430
2.55,430
2.559,427
2.569,430
2.578,424
2.588,430
2.597,421
2.606,429
2.616,420
2.625,430
2.634,421
2.644,430
2.653,424
2.662,432
2.672,425
2.681,431
2.691,424
2.7,430
2.709,423
2.719,430
2.728,423
2.737,431
2.747,420
2.756,428
2.766,421
2.775,426
2.784,420
2.794,427
2.803,421
2.812,425
2.822,420
2.831,427
2.841,425
2.85,428
2.859,422
2.869,428
2.878,415
2.888,420
2.897,417
2.906,422
2.916,419
2.925,422
2.934,416
2.944,424
2.953,418
2.963,422
2.972,416
2.981,420
2.991,420
3,418
3.009,420
3.019,421
3.028,420
3.037,418
3.047,417
3.056,414
3.066,417
3.075,418
3.084,421
3.094,420
3.103,419
3.112,413
3.122,417
3.131,416
3.141,421
3.15,420
3.159,421
3.169,416
3.178,418
3.187,411
3.197,418
3.206,412
3.216,419
3.225,410
3.234,411
3.244,406
3.253,412
3.263,407
3.272,419
3.281,406
3.291,410
3.3,408
3.309,412
3.319,406
3.328,416
3.338,407
3.347,414
3.356,406
3.366,411
3.375,406
3.384,413
3.394,407
3.403,410
3.412,402
3.422,409
3.431,402
3.441,408
3.45,406
3.459,410
3.469,405
3.478,407
3.487,402
3.497,406
3.506,403
3.516,407
3.525,403
3.534,408
3.544,401
3.553,402
3.562,396
3.572,402
3.581,395
3.591,400
3.6,393
3.609,397
3.619,392
3.628,397
3.638,389
3.647,396
3.656,391
3.666,393
3.675,389
3.684,392
3.694,392
3.703,395
3.713,395
3.722,396
3.731,397
3.741,396
3.75,394
3.759,395
3.769,395
3.778,392
3.787,394
3.797,391
3.806,395
3.816,390
3.825,392
3.834,388
3.844,394
3.853,387
3.862,387
3.872,387
3.881,388
3.891,386
3.9,387
3.909,387
3.919,389
3.928,388
3.937,386
3.947,382
3.956,387
3.966,381
3.975,387
3.984,382
3.994,386
4.003,381
4.013,387
4.022,382
4.031,391
4.041,388
4.05,390
4.059,382
4.069,386
4.078,381
4.088,385
4.097,381
4.106,385
4.116,377
4.125,380
4.134,372
4.144,381
4.153,373
4.163,377
4.172,371
4.181,377
4.191,370
4.2,380
4.209,373
4.219,385
4.228,380
4.238,386
4.247,378
4.256,381
4.266,371
4.275,379
4.284,373
4.294,376
4.303,370
4.313,371
4.322,370
4.331,376
4.341,372
4.35,376
4.359,372
4.369,376
4.378,372
4.388,377
4.397,372
4.406,375
4.416,373
4.425,374
4.434,372
4.444,372
4.453,367
4.463,366
4.472,366
4.481,363
4.491,362
4.5,359
4.509,359
4.519,358
4.528,358
4.538,358
4.547,361
4.556,358
4.566,360
4.575,359
4.584,365
4.594,359
4.603,360
4.613,358
4.622,362
4.631,358
4.641,364
4.65,358
4.659,365
4.669,354
4.678,365
4.688,357
4.697,365
4.706,357
4.716,368
4.725,357
4.734,366
4.744,356
4.753,363
4.763,349
4.772,360
4.781,347
4.791,358
4.8,348
4.809,357
4.819,349
4.828,358
4.838,348
4.847,356
4.856,347
4.866,356
4.875,348
4.884,356
4.894,347
4.903,353
4.913,347
4.922,356
4.931,347
4.941,357
4.95,348
4.959,354
4.969,347
4.978,352
4.988,347
4.997,352
5.006,346
5.016,348
5.025,347
5.034,348
5.044,348
5.053,346
5.063,343
5.072,348
5.081,341
5.091,347
5.1,342
5.109,347
5.119,342
5.128,348
5.138,342
5.147,347
5.156,346
5.166,346
5.175,347
5.184,345
5.194,346
5.203,346
5.213,345
5.222,345
5.231,346
5.241,346
5.25,344
5.259,345
5.269,346
5.278,342
5.288,346
5.297,342
5.306,346
5.316,341
5.325,342
5.334,343
5.344,345
5.353,340
5.363,343
5.372,341
5.381,343
5.391,341
5.4,346
5.409,339
5.419,346
5.428,336
5.438,343
5.447,339
5.456,344
5.466,337
5.475,346
5.484,336
5.494,346
5.503,335
5.513,344
5.522,335
5.531,344
5.541,335
5.55,344
5.559,332
5.569,343
5.578,334
5.588,341
5.597,332
5.606,342
5.616,335
5.625,339
5.634,332
5.644,347
5.653,327
5.663,335
5.672,328
5.681,335
5.691,327
5.7,333
5.709,326
5.719,332
5.728,326
5.738,330
5.747,326
5.756,329
5.766,322
5.775,326
5.784,324
5.794,328
5.803,321
5.813,327
5.822,321
5.831,329
5.841,320
5.85,325
5.859,319
5.869,327
5.878,320
5.888,325
5.897,320
5.906,324
5.916,319
5.925,324
5.934,319
5.944,325
5.953,322
5.963,322
5.972,323
5.981,323
5.991,326
6,322
6.009,324
6.019,322
6.028,324
6.038,322
6.047,324
6.056,315
6.066,324
6.075,317
6.084,323
6.094,316
6.103,320
6.113,316
6.122,323
6.131,314
6.141,321
6.15,313
6.159,318
6.169,309
6.178,318
6.188,308
6.197,319
6.206,308
6.216,318
6.225,308
6.234,318
6.244,310
6.253,317
6.263,310
6.272,320
6.281,309
6.291,319
6.3,310
6.309,319
6.319,308
6.328,320
6.338,311
6.347,315
6.356,310
6.366,318
6.375,307
6.384,316
6.394,308
6.403,316
6.413,311
6.422,317
6.431,308
6.441,317
6.45,310
6.459,316
6.469,309
6.478,318
6.488,310
6.497,316
6.506,310
6.516,317
6.525,312
6.534,317
6.544,323
6.553,316
6.563,309
6.572,319
6.581,311
6.591,322
6.6,311
6.609,317
6.619,316
6.628,317
6.638,308
6.647,312
6.656,310
6.666,312
6.675,308
6.684,311
6.694,310
6.703,308
6.713,308
6.722,307
6.731,307
6.741,309
6.75,308
6.759,308
6.769,306
6.778,308
6.788,308
6.797,307
6.806,309
6.816,308
6.825,309
6.834,305
6.844,317
6.853,308
6.863,308
6.872,306
6.881,308
6.891,307
6.9,308
6.909,307
6.919,309
6.928,308
6.938,309
6.947,305
6.956,310
6.966,307
6.975,311
6.984,307
6.994,315
7.003,306
7.013,312
7.022,308
7.031,312
7.041,305
7.05,309
7.059,306
7.069,311
7.078,306
7.088,308
7.097,305
7.106,309
7.116,305
7.125,308
7.134,305
7.144,309
7.153,305
7.163,309
7.172,305
7.181,310
7.191,304
7.2,310
7.209,307
7.219,308
7.228,307
7.238,308
7.247,307
7.256,315
7.266,307
7.275,310
7.284,309
7.294,310
7.303,309
7.313,309
7.322,308
7.331,309
7.341,309
7.35,306
7.359,308
7.369,308
7.378,306
7.388,307
7.397,309
7.406,309
7.416,317
7.425,308
7.434,309
7.444,306
7.453,311
7.463,309
7.472,310
7.481,307
7.491,309
7.5,310
7.509,310
7.519,308
7.528,311
7.538,307
7.547,309
7.556,308
7.566,312
7.575,307
7.584,312
7.594,308
7.603,311
7.613,309
7.622,312
7.631,308
7.641,325
7.65,310
7.659,314
7.669,308
7.678,316
7.688,308
7.697,316
7.706,307
7.716,323
7.725,310
7.734,317
7.744,310
7.753,323
7.763,309
7.772,316
7.781,308
7.791,317
7.8,306
7.809,317
7.819,308
7.828,319
7.838,308
7.847,320
7.856,310
7.866,320
7.875,312
7.884,321
7.894,317
7.903,323
7.913,315
7.922,322
7.931,317
7.941,324
7.95,317
7.959,323
7.969,319
7.978,322
7.988,318
7.997,320
8.006,314
8.016,318
8.025,310
8.034,321
8.044,323
8.053,315
8.062,311
8.072,319
8.081,316
8.091,317
8.1,319
8.109,318
8.119,320
8.128,321
8.137,315
8.147,320
8.156,319
8.166,317
8.175,319
8.184,319
8.194,319
8.203,319
8.212,322
8.222,319
8.231,324
8.241,319
8.25,322
8.259,316
8.269,323
8.278,319
8.288,321
8.297,318
8.306,320
8.316,317
8.325,326
8.334,318
8.344,325
8.353,320
8.362,326
8.372,321
8.381,327
8.391,323
8.4,327
8.409,318
8.419,327
8.428,325
8.437,330
8.447,327
8.456,335
8.466,329
8.475,337
8.484,331
8.494,334
8.503,328
8.512,331
8.522,322
8.531,328
8.541,326
8.55,328
8.559,324
8.569,328
8.578,325
8.587,329
8.597,326
8.606,331
8.616,328
8.625,336
8.634,328
8.644,332
8.653,329
8.663,332
8.672,330
8.681,337
8.691,332
8.7,340
8.709,331
8.719,340
8.728,333
8.737,340
8.747,335
8.756,339
8.766,334
8.775,341
8.784,333
8.794,342
8.803,338
8.812,343
8.822,342
8.831,347
8.841,345
8.85,344
8.859,343
8.869,343
8.878,343
8.887,341
8.897,344
8.906,342
8.916,342
8.925,337
8.934,341
8.944,346
8.953,343
8.962,340
8.972,343
8.981,343
8.991,348
9,347
9.009,347
9.019,347
9.028,348
9.038,344
9.047,349
9.056,349
9.066,352
9.075,348
9.084,358
9.094,348
9.103,353
9.112,347
9.122,351
9.131,348
9.141,355
9.15,347
9.159,352
9.169,346
9.178,356
9.187,348
9.197,353
9.206,349
9.216,356
9.225,348
9.234,356
9.244,348
9.253,356
9.262,349
9.272,357
9.281,347
9.291,357
9.3,347
9.309,357
9.319,349
9.328,358
9.337,349
9.347,358
9.356,347
9.366,358
9.375,348
9.384,356
9.394,347
9.403,354
9.413,348
9.422,349
9.431,349
9.441,355
9.45,347
9.459,356
9.469,348
9.478,355
9.487,348
9.497,356
9.506,352
9.516,361
9.525,356
9.534,357
9.544,356
9.553,357
9.562,357
9.572,357
9.581,356
9.591,357
9.6,355
9.609,353
9.619,355
9.628,357
9.637,356
9.647,358
9.656,364
9.666,357
9.675,359
9.684,359
9.694,364
9.703,356
9.712,360
9.722,357
9.731,366
9.741,359
9.75,367
9.759,367
9.769,368
9.778,367
9.788,371
9.797,367
9.806,369
9.816,367
9.825,371
9.834,369
9.844,374
9.853,367
9.862,373
9.872,368
9.881,376
9.891,371
9.9,377
9.909,371
9.919,379
9.928,371
9.937,383
9.947,373
9.956,383
9.966,373
9.975,384
9.984,377
9.994,385
10.003,378
10.012,387
10.022,380
10.031,386
10.041,381
10.05,387
10.059,382
10.069,389
10.078,385
10.087,390
10.097,387
10.106,389
10.116,388
10.125,389
10.134,386
10.144,394
10.153,384
10.163,394
10.172,388
10.181,395
10.191,387
10.2,396
10.209,390
10.219,398
10.228,392
10.237,400
10.247,395
10.256,398
10.266,396
10.275,399
10.284,396
10.294,405
10.303,396
10.312,403
10.322,396
10.331,405
10.341,398
10.35,407
10.359,397
10.369,406
10.378,402
10.387,406
10.397,403
10.406,407
10.416,404
10.425,407
10.434,404
10.444,406
10.453,405
10.462,406
10.472,406
10.481,408
10.491,404
10.5,407
10.509,406
10.519,410
10.528,406
10.538,409
10.547,408
10.556,410
10.566,410
10.575,411
10.584,410
10.594,413
10.603,413
10.612,412
10.622,414
10.631,415
10.641,416
10.65,415
10.659,419
10.669,413
10.678,417
10.687,412
10.697,417
10.706,417
10.716,418
10.725,415
10.734,420
10.744,414
10.753,420
10.762,417
10.772,420
10.781,420
10.791,422
10.8,419
10.809,423
10.819,424
10.828,424
10.837,421
10.847,426
10.856,420
10.866,425
10.875,422
10.884,424
10.894,420
10.903,427
10.913,421
10.922,429
10.931,421
10.941,430
10.95,424
10.959,430
10.969,425
10.978,432
10.987,427
10.997,432
11.006,425
11.016,430
11.025,424
11.034,432
11.044,426
11.053,433
11.062,427
11.072,432
11.081,430
11.091,435
11.1,431
11.109,435
11.119,431
11.128,437
11.137,430
11.147,442
11.156,431
11.166,438
11.175,434
11.184,445
11.194,434
11.203,442
11.212,431
11.222,436
11.231,432
11.241,437
11.25,431
11.259,437
11.269,431
11.278,435
11.288,431
11.297,436
11.306,431
11.316,435
11.325,430
11.334,435
11.344,432
11.353,438
11.362,432
11.372,439
11.381,434
11.391,442
11.4,434
11.409,442
11.419,436
11.428,444
11.437,437
11.447,446
11.456,444
11.466,449
11.475,446
11.484,450
11.494,444
11.503,450
11.512,446
11.522,450
11.531,446
11.541,449
11.55,448
11.559,449
11.569,450
11.578,452
11.587,450
11.597,453
11.606,450
11.616,455
11.625,450
11.634,454
11.644,451
11.653,456
11.663,452
11.672,458
11.681,455
11.691,457
11.7,455
11.709,459
11.719,457
11.728,458
11.737,457
11.747,458
11.756,459
11.766,461
11.775,460
11.784,457
11.794,460
11.803,460
11.812,462
11.822,460
11.831,463
11.841,462
11.85,463
11.859,462
11.869,466
11.878,463
11.887,464
11.897,463
11.906,466
11.916,464
11.925,463
11.934,463
11.944,464
11.953,464
11.962,467
11.972,464
11.981,467
11.991,462
12,469
12.009,466
12.019,469
12.028,467
12.038,467
12.047,469
12.056,469
12.066,469
12.075,469
12.084,469
12.094,471
12.103,469
12.112,471
12.122,471
12.131,473
12.141,469
12.15,475
12.159,469
12.169,474
12.178,469
12.187,472
12.197,472
12.206,474
12.216,470
12.225,478
12.234,473
12.244,478
12.253,473
12.262,478
12.272,473
12.281,481
12.291,474
12.3,480
12.309,473
12.319,484
12.328,475
12.337,483
12.347,476
12.356,485
12.366,478
12.375,484
12.384,480
12.394,484
12.403,482
12.413,484
12.422,481
12.431,487
12.441,483
12.45,486
12.459,485
12.469,488
12.478,484
12.487,490
12.497,484
12.506,490
12.516,484
12.525,488
12.534,484
12.544,491
12.553,483
12.562,491
12.572,484
12.581,490
12.591,484
12.6,489
12.609,489
12.619,495
12.628,489
12.637,493
12.647,489
12.656,496
12.666,488
12.675,498
12.684,494
12.694,498
12.703,495
12.712,497
12.722,495
12.731,501
12.741,496
12.75,500
12.759,496
12.769,501
12.778,497
12.788,499
12.797,497
12.806,502
12.816,498
12.825,499
12.834,498
12.844,502
12.853,500
12.862,504
12.872,500
12.881,502
12.891,498
12.9,502
12.909,499
12.919,501
12.928,500
12.937,503
12.947,502
12.956,503
12.966,505
12.975,503
12.984,503
12.994,503
13.003,504
13.012,502
13.022,503
13.031,503
13.041,504
13.05,502
13.059,503
13.069,503
13.078,504
13.087,503
13.097,504
13.106,505
13.116,505
13.125,504
13.134,505
13.144,504
13.153,503
13.163,506
13.172,504
13.181,504
13.191,507
13.2,503
13.209,506
13.219,503
13.228,509
13.237,504
13.247,511
13.256,504
13.266,515
13.275,505
13.284,512
13.294,506
13.303,513
13.312,506
13.322,516
13.331,507
13.341,514
13.35,507
13.359,515
13.369,509
13.378,515
13.387,509
13.397,517
13.406,511
13.416,517
13.425,511
13.434,521
13.444,512
13.453,518
13.462,512
13.472,522
13.481,511
13.491,523
13.5,515
13.509,522
13.519,513
13.528,523
13.538,514
13.547,525
13.556,513
13.566,524
13.575,517
13.584,525
13.594,519
13.603,527
13.612,516
13.622,526
13.631,517
13.641,527
13.65,520
13.659,527
13.669,521
13.678,527
13.687,518
13.697,525
13.706,520
13.716,527
13.725,520
13.734,522
13.744,516
13.753,528
13.762,522
13.772,527
13.781,521
13.791,527
13.8,522
13.809,526
13.819,522
13.828,528
13.837,522
13.847,527
13.856,521
13.866,529
13.875,525
13.884,527
13.894,527
13.903,529
13.913,528
13.922,527
13.931,525
13.941,532
13.95,526
13.959,530
13.969,528
13.978,530
13.987,529
13.997,529
14.006,528
14.016,531
14.025,526
14.034,530
14.044,528
14.053,526
14.062,527
14.072,528
14.081,527
14.091,527
14.1,528
14.109,528
14.119,528
14.128,528
14.137,527
14.147,528
14.156,528
14.166,528
14.175,530
14.184,528
14.194,529
14.203,530
14.212,527
14.222,529
14.231,529
14.241,529
14.25,528
14.259,527
14.269,530
14.278,530
14.288,529
14.297,528
14.306,529
14.316,528
14.325,528
14.334,528
14.344,530
14.353,526
14.362,532
14.372,529
14.381,533
14.391,529
14.4,530
14.409,530
14.419,533
14.428,529
14.437,533
14.447,528
14.456,533
14.466,526
14.475,532
14.484,529
14.494,532
14.503,528
14.512,535
14.522,530
14.531,537
14.541,527
14.55,536
14.559,528
14.569,536
14.578,533
14.587,538
14.597,534
14.606,535
14.616,529
14.625,538
14.634,533
14.644,538
14.653,535
14.663,541
14.672,532
14.681,539
14.691,533
14.7,542
14.709,537
14.719,542
14.728,537
14.737,543
14.747,536
14.756,544
14.766,539
14.775,549
14.784,538
14.794,542
14.803,536
14.812,542
14.822,537
14.831,548
14.841,539
14.85,543
14.859,538
14.869,544
14.878,538
14.887,545
14.897,538
14.906,545
14.916,538
14.925,541
14.934,537
14.944,545
14.953,541
14.962,545
14.972,539
14.981,540
14.991,538
15,543
15.009,540
15.019,546
15.028,539
15.038,542
15.047,537
15.056,541
15.066,538
15.075,544
15.084,540
15.094,546
15.103,538
15.112,541
15.122,538
15.131,544
15.141,543
15.15,545
15.159,538
15.169,544
15.178,535
15.187,542
15.197,539
15.206,546
15.216,538
15.225,542
15.234,536
15.244,541
15.253,537
15.262,543
15.272,542
15.281,543
15.291,537
15.3,540
15.309,537
15.319,542
15.328,541
15.337,542
15.347,538
15.356,539
15.366,538
15.375,539
15.384,539
15.394,542
15.403,539
15.413,537
15.422,536
15.431,541
15.441,542
15.45,543
15.459,540
15.469,540
15.478,538
15.487,539
15.497,540
15.506,543
15.516,543
15.525,542
15.534,540
15.544,539
15.553,544
15.562,541
15.572,543
15.581,542
15.591,543
15.6,541
15.609,543
15.619,540
15.628,543
15.637,541
15.647,543
15.656,541
15.666,541
15.675,542
15.684,542
15.694,542
15.703,543
15.712,543
15.722,546
15.731,540
15.741,543
15.75,542
15.759,546
15.769,543
15.778,545
15.788,542
15.797,544
15.806,540
15.816,544
15.825,542
15.834,545
15.844,541
15.853,545
15.862,542
15.872,547
15.881,543
15.891,545
15.9,543
15.909,548
15.919,542
15.928,547
15.937,542
15.947,547
15.956,543
15.966,546
15.975,544
15.984,549
15.994,540
16.003,546
16.013,540
16.022,547
16.031,540
16.041,546
16.05,538
16.059,544
16.069,538
16.078,545
16.087,538
16.097,543
16.106,537
16.116,543
16.125,535
16.134,542
16.144,534
16.153,542
16.163,534
16.172,542
16.181,535
16.191,540
16.2,534
16.209,542
16.219,535
16.228,541
16.237,534
16.247,540
16.256,536
16.266,543
16.275,538
16.284,543
16.294,538
16.303,543
16.312,537
16.322,542
16.331,537
16.341,541
16.35,538
16.359,541
16.369,535
16.378,538
16.388,534
16.397,539
16.406,534
16.416,538
16.425,533
16.434,536
16.444,532
16.453,537
16.462,533
16.472,536
16.481,531
16.491,536
16.5,531
16.509,536
16.519,528
16.528,535
16.538,528
16.547,535
16.556,529
16.566,535
16.575,530
16.584,535
16.594,528
16.603,535
16.612,529
16.622,533
16.631,529
16.641,534
16.65,533
16.659,535
16.669,530
16.678,533
16.687,530
16.697,534
16.706,528
16.716,534
16.725,532
16.734,533
16.744,531
16.753,532
16.763,533
16.772,534
16.781,535
16.791,533
16.8,533
16.809,532
16.819,531
16.828,530
16.837,532
16.847,533
16.856,534
16.866,533
16.875,535
16.884,533
16.894,536
16.903,533
16.913,533
16.922,535
16.931,537
16.941,534
16.95,535
16.959,538
16.969,537
16.978,532
16.987,535
16.997,535
17.006,532
17.016,533
17.025,534
17.034,533
17.044,537
17.053,532
17.062,533
17.072,529
17.081,534
17.091,528
17.1,532
17.109,528
17.119,528
17.128,524
17.138,528
17.147,526
17.156,528
17.166,528
17.175,531
17.184,529
17.194,530
17.203,525
17.212,534
17.222,528
17.231,532
17.241,528
17.25,528
17.259,522
17.269,529
17.278,527
17.288,527
17.297,519
17.306,527
17.316,521
17.325,527
17.334,520
17.344,528
17.353,523
17.362,529
17.372,524
17.381,529
17.391,523
17.4,528
17.409,524
17.419,530
17.428,523
17.437,528
17.447,528
17.456,533
17.466,528
17.475,535
17.484,529
17.494,534
17.503,528
17.513,529
17.522,525
17.531,528
17.541,523
17.55,529
17.559,523
17.569,527
17.578,520
17.587,527
17.597,520
17.606,528
17.616,523
17.625,525
17.634,514
17.644,524
17.653,514
17.663,525
17.672,522
17.681,528
17.691,517
17.7,524
17.709,517
17.719,525
17.728,518
17.737,523
17.747,512
17.756,517
17.766,513
17.775,521
17.784,516
17.794,523
17.803,513
17.812,515
17.822,509
17.831,517
17.841,513
17.85,524
17.859,514
17.869,522
17.878,506
17.888,513
17.897,505
17.906,513
17.916,512
17.925,516
17.934,505
17.944,515
17.953,512
17.962,517
17.972,516
17.981,525
17.991,515
18,516
18.009,512
18.019,516
18.028,516
18.038,521
18.047,517
18.056,514
18.066,510
18.075,509
18.084,505
18.094,506
18.103,506
18.112,504
18.122,507
18.131,507
18.141,511
18.15,511
18.159,509
18.169,508
18.178,506
18.187,507
18.197,505
18.206,509
18.216,512
18.225,511
18.234,512
18.244,508
18.253,506
18.263,504
18.272,505
18.281,502
18.291,503
18.3,506
18.309,504
18.319,504
18.328,504
18.337,503
18.347,503
18.356,504
18.366,505
18.375,504
18.384,504
18.394,504
18.403,505
18.413,501
18.422,504
18.431,504
18.441,506
18.45,504
18.459,503
18.469,498
18.478,502
18.487,496
18.497,503
18.506,500
18.516,502
18.525,494
18.534,499
18.544,494
18.553,504
18.562,498
18.572,504
18.581,496
18.591,502
18.6,498
18.609,501
18.619,496
18.628,502
18.638,485
18.647,498
18.656,488
18.666,498
18.675,492
18.684,500
18.694,489
18.703,498
18.712,488
18.722,499
18.731,493
18.741,503
18.75,493
18.759,499
18.769,486
18.778,494
18.788,486
18.797,497
18.806,488
18.816,497
18.825,486
18.834,492
18.844,487
18.853,497
18.862,488
18.872,497
18.881,486
18.891,494
18.9,485
18.909,496
18.919,489
18.928,499
18.937,489
18.947,493
18.956,486
18.966,489
18.975,485
18.984,490
18.994,484
19.003,488
19.013,485
19.022,487
19.031,484
19.041,486
19.05,483
19.059,484
19.069,483
19.078,487
19.087,482
19.097,484
19.106,481
19.116,484
19.125,479
19.134,482
19.144,477
19.153,485
19.163,476
19.172,483
19.181,476
19.191,484
19.2,475
19.209,482
19.219,476
19.228,482
19.237,475
19.247,483
19.256,475
19.266,479
19.275,474
19.284,476
19.294,474
19.303,475
19.312,472
19.322,474
19.331,472
19.341,475
